Name,Category,Price,Description
Hot Charcoal Mocha,Coffee,33000,Minuman Coffee dengan paduan Charcoal dan Mocha yang hot.
Creamy Charcoal Macchiato,Coffee,79000,Minuman Coffee dengan paduan Charcoal dan Macchiato yang creamy.
Creamy Pandan Milk Tea,Signature,78000,Minuman Signature dengan paduan Pandan dan Milk Tea yang creamy.
Iced Caramel Mocha,Coffee,99000,Minuman Coffee dengan paduan Caramel dan Mocha yang iced.
Creamy Pandan Milk Tea,Signature,73000,Minuman Signature dengan paduan Pandan dan Milk Tea yang creamy.
Hot Charcoal Latte,Coffee,73000,Minuman Coffee dengan paduan Charcoal dan Latte yang hot.
Iced Taro Americano,Coffee,110000,Minuman Coffee dengan paduan Taro dan Americano yang iced.
Hot Vanilla Latte,Coffee,49000,Minuman Coffee dengan paduan Vanilla dan Latte yang hot.
Iced Caramel Mocha,Coffee,64000,Minuman Coffee dengan paduan Caramel dan Mocha yang iced.
Hot Salted Caramel Red Velvet,Non-Coffee,35000,Minuman Non-Coffee dengan paduan Salted Caramel dan Red Velvet yang hot.
Hot Butterscotch Milk Tea,Coffee,110000,Minuman Coffee dengan paduan Butterscotch dan Milk Tea yang hot.
Creamy Butterscotch Macchiato,Coffee,67000,Minuman Coffee dengan paduan Butterscotch dan Macchiato yang creamy.
Iced Charcoal Macchiato,Coffee,58000,Minuman Coffee dengan paduan Charcoal dan Macchiato yang iced.
Creamy Caramel Red Velvet,Non-Coffee,119000,Minuman Non-Coffee dengan paduan Caramel dan Red Velvet yang creamy.
Iced Salted Caramel Milk Tea,Coffee,72000,Minuman Coffee dengan paduan Salted Caramel dan Milk Tea yang iced.
Creamy Vanilla Macchiato,Coffee,116000,Minuman Coffee dengan paduan Vanilla dan Macchiato yang creamy.
Hot Salted Caramel Red Velvet,Non-Coffee,65000,Minuman Non-Coffee dengan paduan Salted Caramel dan Red Velvet yang hot.
Iced Pandan Red Velvet,Signature,92000,Minuman Signature dengan paduan Pandan dan Red Velvet yang iced.
Creamy Gula Aren Mocha,Signature,97000,Minuman Signature dengan paduan Gula Aren dan Mocha yang creamy.
Creamy Pandan Red Velvet,Signature,77000,Minuman Signature dengan paduan Pandan dan Red Velvet yang creamy.
Creamy Salted Caramel Americano,Coffee,61000,Minuman Coffee dengan paduan Salted Caramel dan Americano yang creamy.
Hot Butterscotch Macchiato,Coffee,85000,Minuman Coffee dengan paduan Butterscotch dan Macchiato yang hot.
Iced Hazelnut Mocha,Coffee,107000,Minuman Coffee dengan paduan Hazelnut dan Mocha yang iced.
Iced Gula Aren Chocolate,Signature,62000,Minuman Signature dengan paduan Gula Aren dan Chocolate yang iced.
Hot Double Shot Red Velvet,Non-Coffee,85000,Minuman Non-Coffee dengan paduan Double Shot dan Red Velvet yang hot.
Creamy Hazelnut Macchiato,Coffee,43000,Minuman Coffee dengan paduan Hazelnut dan Macchiato yang creamy.
Iced Taro Red Velvet,Non-Coffee,116000,Minuman Non-Coffee dengan paduan Taro dan Red Velvet yang iced.
Iced Salted Caramel Cappuccino,Coffee,110000,Minuman Coffee dengan paduan Salted Caramel dan Cappuccino yang iced.
Iced Salted Caramel Red Velvet,Non-Coffee,112000,Minuman Non-Coffee dengan paduan Salted Caramel dan Red Velvet yang iced.
Creamy Gula Aren Espresso,Signature,52000,Minuman Signature dengan paduan Gula Aren dan Espresso yang creamy.
Iced Double Shot Mocha,Coffee,62000,Minuman Coffee dengan paduan Double Shot dan Mocha yang iced.
Creamy Salted Caramel Espresso,Coffee,48000,Minuman Coffee dengan paduan Salted Caramel dan Espresso yang creamy.
Iced Taro Latte,Coffee,54000,Minuman Coffee dengan paduan Taro dan Latte yang iced.
Iced Butterscotch Cappuccino,Coffee,47000,Minuman Coffee dengan paduan Butterscotch dan Cappuccino yang iced.
Hot Charcoal Americano,Coffee,56000,Minuman Coffee dengan paduan Charcoal dan Americano yang hot.
Hot Salted Caramel Milk Tea,Coffee,119000,Minuman Coffee dengan paduan Salted Caramel dan Milk Tea yang hot.
Iced Salted Caramel Cappuccino,Coffee,98000,Minuman Coffee dengan paduan Salted Caramel dan Cappuccino yang iced.
Iced Butterscotch Americano,Coffee,111000,Minuman Coffee dengan paduan Butterscotch dan Americano yang iced.
Creamy Charcoal Cappuccino,Coffee,47000,Minuman Coffee dengan paduan Charcoal dan Cappuccino yang creamy.
Hot Butterscotch Espresso,Coffee,102000,Minuman Coffee dengan paduan Butterscotch dan Espresso yang hot.
Creamy Gula Aren Milk Tea,Signature,101000,Minuman Signature dengan paduan Gula Aren dan Milk Tea yang creamy.
Hot Salted Caramel Americano,Coffee,105000,Minuman Coffee dengan paduan Salted Caramel dan Americano yang hot.
Creamy Gula Aren Mocha,Signature,80000,Minuman Signature dengan paduan Gula Aren dan Mocha yang creamy.
Hot Taro Cappuccino,Coffee,74000,Minuman Coffee dengan paduan Taro dan Cappuccino yang hot.
Iced Hazelnut Red Velvet,Non-Coffee,70000,Minuman Non-Coffee dengan paduan Hazelnut dan Red Velvet yang iced.
Hot Caramel Cappuccino,Coffee,77000,Minuman Coffee dengan paduan Caramel dan Cappuccino yang hot.
Hot Pandan Matcha,Signature,116000,Minuman Signature dengan paduan Pandan dan Matcha yang hot.
Hot Hazelnut Red Velvet,Non-Coffee,41000,Minuman Non-Coffee dengan paduan Hazelnut dan Red Velvet yang hot.
Creamy Charcoal Cappuccino,Coffee,81000,Minuman Coffee dengan paduan Charcoal dan Cappuccino yang creamy.
Hot Double Shot Mocha,Coffee,86000,Minuman Coffee dengan paduan Double Shot dan Mocha yang hot.
Hot Caramel Espresso,Coffee,72000,Minuman Coffee dengan paduan Caramel dan Espresso yang hot.
Creamy Hazelnut Macchiato,Coffee,78000,Minuman Coffee dengan paduan Hazelnut dan Macchiato yang creamy.
Iced Taro Milk Tea,Coffee,50000,Minuman Coffee dengan paduan Taro dan Milk Tea yang iced.
Creamy Pandan Macchiato,Signature,47000,Minuman Signature dengan paduan Pandan dan Macchiato yang creamy.
Iced Double Shot Chocolate,Non-Coffee,100000,Minuman Non-Coffee dengan paduan Double Shot dan Chocolate yang iced.
Hot Gula Aren Espresso,Signature,117000,Minuman Signature dengan paduan Gula Aren dan Espresso yang hot.
Creamy Double Shot Milk Tea,Coffee,102000,Minuman Coffee dengan paduan Double Shot dan Milk Tea yang creamy.
Iced Pandan Cappuccino,Signature,114000,Minuman Signature dengan paduan Pandan dan Cappuccino yang iced.
Iced Salted Caramel Chocolate,Non-Coffee,38000,Minuman Non-Coffee dengan paduan Salted Caramel dan Chocolate yang iced.
Iced Pandan Mocha,Signature,43000,Minuman Signature dengan paduan Pandan dan Mocha yang iced.
Hot Pandan Milk Tea,Signature,68000,Minuman Signature dengan paduan Pandan dan Milk Tea yang hot.
Iced Caramel Espresso,Coffee,68000,Minuman Coffee dengan paduan Caramel dan Espresso yang iced.
Creamy Salted Caramel Espresso,Coffee,97000,Minuman Coffee dengan paduan Salted Caramel dan Espresso yang creamy.
Creamy Double Shot Espresso,Coffee,38000,Minuman Coffee dengan paduan Double Shot dan Espresso yang creamy.
Creamy Vanilla Mocha,Coffee,30000,Minuman Coffee dengan paduan Vanilla dan Mocha yang creamy.
Iced Caramel Milk Tea,Coffee,46000,Minuman Coffee dengan paduan Caramel dan Milk Tea yang iced.
Creamy Caramel Latte,Coffee,97000,Minuman Coffee dengan paduan Caramel dan Latte yang creamy.
Hot Vanilla Matcha,Non-Coffee,116000,Minuman Non-Coffee dengan paduan Vanilla dan Matcha yang hot.
Hot Salted Caramel Latte,Coffee,44000,Minuman Coffee dengan paduan Salted Caramel dan Latte yang hot.
Hot Hazelnut Cappuccino,Coffee,94000,Minuman Coffee dengan paduan Hazelnut dan Cappuccino yang hot.
Hot Caramel Red Velvet,Non-Coffee,70000,Minuman Non-Coffee dengan paduan Caramel dan Red Velvet yang hot.
Hot Salted Caramel Milk Tea,Coffee,119000,Minuman Coffee dengan paduan Salted Caramel dan Milk Tea yang hot.
Hot Pandan Espresso,Signature,47000,Minuman Signature dengan paduan Pandan dan Espresso yang hot.
Hot Hazelnut Espresso,Coffee,105000,Minuman Coffee dengan paduan Hazelnut dan Espresso yang hot.
Hot Pandan Cappuccino,Signature,112000,Minuman Signature dengan paduan Pandan dan Cappuccino yang hot.
Creamy Caramel Mocha,Coffee,107000,Minuman Coffee dengan paduan Caramel dan Mocha yang creamy.
Iced Caramel Cappuccino,Coffee,107000,Minuman Coffee dengan paduan Caramel dan Cappuccino yang iced.
Creamy Double Shot Mocha,Coffee,109000,Minuman Coffee dengan paduan Double Shot dan Mocha yang creamy.
Iced Double Shot Milk Tea,Coffee,46000,Minuman Coffee dengan paduan Double Shot dan Milk Tea yang iced.
Iced Charcoal Americano,Coffee,96000,Minuman Coffee dengan paduan Charcoal dan Americano yang iced.
Hot Charcoal Red Velvet,Non-Coffee,32000,Minuman Non-Coffee dengan paduan Charcoal dan Red Velvet yang hot.
Hot Caramel Milk Tea,Coffee,72000,Minuman Coffee dengan paduan Caramel dan Milk Tea yang hot.
Creamy Salted Caramel Americano,Coffee,101000,Minuman Coffee dengan paduan Salted Caramel dan Americano yang creamy.
Hot Vanilla Macchiato,Coffee,39000,Minuman Coffee dengan paduan Vanilla dan Macchiato yang hot.
Creamy Salted Caramel Cappuccino,Coffee,83000,Minuman Coffee dengan paduan Salted Caramel dan Cappuccino yang creamy.
Hot Caramel Espresso,Coffee,60000,Minuman Coffee dengan paduan Caramel dan Espresso yang hot.
Hot Hazelnut Cappuccino,Coffee,46000,Minuman Coffee dengan paduan Hazelnut dan Cappuccino yang hot.
Creamy Caramel Matcha,Non-Coffee,51000,Minuman Non-Coffee dengan paduan Caramel dan Matcha yang creamy.
Hot Pandan Mocha,Signature,104000,Minuman Signature dengan paduan Pandan dan Mocha yang hot.
Iced Caramel Macchiato,Coffee,116000,Minuman Coffee dengan paduan Caramel dan Macchiato yang iced.
Hot Vanilla Chocolate,Non-Coffee,91000,Minuman Non-Coffee dengan paduan Vanilla dan Chocolate yang hot.
Creamy Hazelnut Cappuccino,Coffee,99000,Minuman Coffee dengan paduan Hazelnut dan Cappuccino yang creamy.
Iced Gula Aren Latte,Signature,79000,Minuman Signature dengan paduan Gula Aren dan Latte yang iced.
Creamy Pandan Cappuccino,Signature,112000,Minuman Signature dengan paduan Pandan dan Cappuccino yang creamy.
Creamy Charcoal Mocha,Coffee,84000,Minuman Coffee dengan paduan Charcoal dan Mocha yang creamy.
Hot Butterscotch Milk Tea,Coffee,114000,Minuman Coffee dengan paduan Butterscotch dan Milk Tea yang hot.
Iced Caramel Matcha,Non-Coffee,90000,Minuman Non-Coffee dengan paduan Caramel dan Matcha yang iced.
Hot Butterscotch Milk Tea,Coffee,120000,Minuman Coffee dengan paduan Butterscotch dan Milk Tea yang hot.
Iced Salted Caramel Mocha,Coffee,99000,Minuman Coffee dengan paduan Salted Caramel dan Mocha yang iced.
Hot Charcoal Milk Tea,Coffee,44000,Minuman Coffee dengan paduan Charcoal dan Milk Tea yang hot.
Hot Salted Caramel Mocha,Coffee,95000,Minuman Coffee dengan paduan Salted Caramel dan Mocha yang hot.
Hot Butterscotch Mocha,Coffee,77000,Minuman Coffee dengan paduan Butterscotch dan Mocha yang hot.
Iced Taro Cappuccino,Coffee,65000,Minuman Coffee dengan paduan Taro dan Cappuccino yang iced.
Hot Pandan Latte,Signature,86000,Minuman Signature dengan paduan Pandan dan Latte yang hot.
Iced Taro Espresso,Coffee,112000,Minuman Coffee dengan paduan Taro dan Espresso yang iced.
Iced Double Shot Red Velvet,Non-Coffee,64000,Minuman Non-Coffee dengan paduan Double Shot dan Red Velvet yang iced.
Iced Vanilla Espresso,Coffee,83000,Minuman Coffee dengan paduan Vanilla dan Espresso yang iced.
Creamy Charcoal Milk Tea,Coffee,77000,Minuman Coffee dengan paduan Charcoal dan Milk Tea yang creamy.
Hot Charcoal Latte,Coffee,38000,Minuman Coffee dengan paduan Charcoal dan Latte yang hot.
Iced Vanilla Red Velvet,Non-Coffee,109000,Minuman Non-Coffee dengan paduan Vanilla dan Red Velvet yang iced.
Hot Pandan Cappuccino,Signature,54000,Minuman Signature dengan paduan Pandan dan Cappuccino yang hot.
Creamy Pandan Mocha,Signature,52000,Minuman Signature dengan paduan Pandan dan Mocha yang creamy.
Creamy Gula Aren Milk Tea,Signature,42000,Minuman Signature dengan paduan Gula Aren dan Milk Tea yang creamy.
Hot Charcoal Mocha,Coffee,79000,Minuman Coffee dengan paduan Charcoal dan Mocha yang hot.
Iced Vanilla Cappuccino,Coffee,58000,Minuman Coffee dengan paduan Vanilla dan Cappuccino yang iced.
Iced Hazelnut Milk Tea,Coffee,110000,Minuman Coffee dengan paduan Hazelnut dan Milk Tea yang iced.
Hot Pandan Red Velvet,Signature,76000,Minuman Signature dengan paduan Pandan dan Red Velvet yang hot.
Iced Salted Caramel Macchiato,Coffee,107000,Minuman Coffee dengan paduan Salted Caramel dan Macchiato yang iced.
Hot Double Shot Americano,Coffee,115000,Minuman Coffee dengan paduan Double Shot dan Americano yang hot.
Hot Hazelnut Milk Tea,Coffee,34000,Minuman Coffee dengan paduan Hazelnut dan Milk Tea yang hot.
